category,category_url,subcats,files
SVG flags of Samoa,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Samoa,1,2
SVG flags of San Marino,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_San_Marino,0,4
SVG flags of Sao Tome and Principe,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Sao_Tome_and_Principe,1,6
SVG flags of Saudi Arabia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Saudi_Arabia,5,13
SVG flags of Senegal,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Senegal,1,6
SVG flags of Serbia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Serbia,7,23
SVG flags of Seychelles,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Seychelles,2,4
SVG flags of Sierra Leone,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Sierra_Leone,2,7
SVG flags of Singapore,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Singapore,4,5
SVG flags of Slovakia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Slovakia,6,17
SVG flags of Slovenia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Slovenia,4,17
SVG flags of the Solomon Islands,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Solomon_Islands,2,10
SVG flags of Somalia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Somalia,3,20
SVG flags of South Africa,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_South_Africa,5,25
SVG flags of South Sudan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_South_Sudan,1,15
SVG flags of Spain,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Spain,9,200
SVG flags of Sri Lanka,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Sri_Lanka,3,11
SVG flags of Sudan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Sudan,3,20
SVG flags of Suriname,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Suriname,2,6
SVG flags of Sweden,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Sweden,9,64
